id,latitude,longitude,name,ref,network,operator
1642974457,-34.6091366,-58.408163,Plaza Miserere,,,
1642974503,-34.6089998,-58.4066047,Plaza Miserere,,,
1642974539,-34.609106,-58.4064617,Plaza Miserere,,,
1643728313,-34.6101018,-58.4071686,Plaza Miserere,,,
1659162344,-34.5986846,-58.4367334,Scalabrini Ortiz y Ramírez de Velasco,,,
1659207446,-34.5988378,-58.4369843,Scalabrini Ortiz y Ramírez de Velasco,,,
1731838314,-34.579411,-58.4907841,Olazábal y Burela,,,
1801726719,-34.614985,-58.4525052,Fragata Sarmiento y Arengreen,,,
1885388661,-34.6103021,-58.5302015,Reverenda Isabel Fernández,,,
1886240514,-34.6022436,-58.5129796,Est. Devoto (FCSM),,,
1942601853,-34.5879664,-58.390352,Bus Turistico Parada 24,24,,
1953009841,-34.7093737,-58.5049216,Estación Castello,,,
1965957226,-34.5034465,-58.4949046,Maipú y Jose Ingenieros,,,
1967837804,-34.5043637,-58.4944006,Maipú y San Lorenzo,,,
1967837808,-34.5045502,-58.4939497,Maipú y San Lorenzo,,,
2025893527,-34.5550102,-58.4908958,Balbín y Mariano Acha,,,
2025893528,-34.5547125,-58.4889849,Donado y Balbín,,,
2025893529,-34.5290207,-58.4867228,Roca y Chacabuco,,,
2025893530,-34.5307377,-58.4903751,Roca y España,,,
2025893531,-34.5301612,-58.4891936,Roca y General Paz,,,
2025901919,-34.5955922,-58.4511651,Muñecas y Dorrego,,,
2025901922,-34.5957161,-58.4453037,Camargo y Juan B. Justo,,,
2025901926,-34.5919914,-58.449244,Guzmán y Leiva,,,
2025901929,-34.5736269,-58.4852423,Monroe y Díaz Colodrero,,,
2025901930,-34.58195,-58.4727775,Triunvirato al 3600,,,
2025901932,-34.5775468,-58.4811902,Triunvirato y Juramento,,,
2025901933,-34.580944,-58.4744706,Avenida de Los Incas,,,
2025901934,-34.575788,-58.4837879,Triunvirato y Olazábal,,,
2025901937,-34.5791459,-58.4784651,Triunvirato y La Pampa,,,
2025901938,-34.5723714,-58.4865346,Díaz Colodrero y Cullen,,,
2025901939,-34.5597399,-58.487855,Plaza Alberdi,,,
2025901940,-34.549246,-58.4831992,Ruiz Huidobro y Roque Pérez,,,
2025901943,-34.5623175,-58.4901717,Núñez y Valdenegro,,,
2025901949,-34.5694881,-58.4888507,Díaz Colodrero y Congreso,,,
2025901950,-34.5830579,-58.4692933,Avenida Chorroarín,,,
2025901951,-34.5973833,-58.4434248,Camargo y Serrano,,,
2025901952,-34.5872713,-58.454124,Lacroze,,,
2025901953,-34.5900025,-58.4513913,Guzmán y Newbery,,,
2025902814,-34.5954677,-58.3839721,Santa Fe y Libertad,,,
2025905685,-34.5956546,-58.3879616,Santa Fe y Paraná,,,
2025905686,-34.5930834,-58.3928016,Callao y Pacheco de Melo,,,
2025905687,-34.5878134,-58.3966444,Facultad de Ingeniería,,,
2025905689,-34.5775981,-58.4274068,Regimiento de Patricios,,,
2025905693,-34.5828378,-58.4077611,Parque Las Heras,,,
2025905694,-34.5817861,-58.4119049,Avenida Scalabrini Ortiz,,,
