latitude,longitude
-34.655678,-58.3745685
-34.6601655,-58.3706975
-34.6600825,-58.3742588
-34.6605848,-58.3868219
-34.6618555,-58.385985
-34.6090483,-58.4071505
-34.6091079,-58.4078552
-34.6091366,-58.408163
-34.6089998,-58.4066047
-34.609106,-58.4064617
-34.6101018,-58.4071686
-34.5986846,-58.4367334
-34.5988378,-58.4369843
-34.579411,-58.4907841
-34.614985,-58.4525052
-34.6103021,-58.5302015
-34.6022436,-58.5129796
-34.5879664,-58.390352
-34.7093737,-58.5049216
-34.5034465,-58.4949046
-34.5043637,-58.4944006
-34.5045502,-58.4939497
-34.5550102,-58.4908958
-34.5547125,-58.4889849
-34.5290207,-58.4867228
-34.5307377,-58.4903751
-34.5301612,-58.4891936
-34.5955922,-58.4511651
-34.5957161,-58.4453037
-34.5919914,-58.449244
-34.5736269,-58.4852423
-34.58195,-58.4727775
-34.5775468,-58.4811902
-34.580944,-58.4744706
-34.575788,-58.4837879
-34.5791459,-58.4784651
-34.5723714,-58.4865346
-34.5597399,-58.487855
-34.549246,-58.4831992
-34.5623175,-58.4901717
-34.5694881,-58.4888507
-34.5830579,-58.4692933
-34.5973833,-58.4434248
-34.5872713,-58.454124
-34.5900025,-58.4513913
-34.5954677,-58.3839721
-34.5956546,-58.3879616
-34.5930834,-58.3928016
-34.5878134,-58.3966444
-34.5775981,-58.4274068
-34.5828378,-58.4077611
-34.5817861,-58.4119049
-34.5644365,-58.441162
-34.5672022,-58.4436438
-34.5654732,-58.4401275
-34.5674989,-58.4378156
-34.5081979,-58.4796199
-34.5164636,-58.4760744
-34.5013436,-58.4825917
-34.5061711,-58.4804245
-34.51409,-58.4770548
-34.5181348,-58.4797567
-34.5682556,-58.4431084
-34.5655938,-58.4405495
-34.5696476,-58.4444745
-34.5864943,-58.3984704
-34.5682451,-58.4375579
-34.5896245,-58.3946703
-34.5913123,-58.3925758
-34.5698199,-58.436239
-34.5740624,-58.4322122
-34.5957426,-58.3849645
-34.5818353,-58.414731
-34.5840943,-58.4011483
-34.6381684,-58.5299707
-34.7029174,-58.493077
-34.5393357,-58.4755502
-34.5368702,-58.4759374
-34.5384092,-58.4761162
-34.7099506,-58.5342888
-34.6223544,-58.4022656
-34.5842469,-58.4778603
-34.5671436,-58.4123486
-34.56325,-58.4372131
-34.5745764,-58.4160589
-34.5754641,-58.4154405
-34.5756239,-58.4135417
-34.5755173,-58.4156107
-34.6459193,-58.4508702
-34.6192883,-58.5314588
-34.7084638,-58.5329236
-34.7090001,-58.5292438
-34.7091389,-58.5296043
-34.7066636,-58.5401038
-34.7103412,-58.5341214
-34.7130737,-58.5347436
